time,.layout.dim,.layout.data_offset,.data
2018/05/29/10:46:53.886732,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:53.895679,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:53.926987,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:53.945308,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:53.974375,[],0,"(-0.16325220465660095, -0.20718802511692047, 419.3652038574219)"
2018/05/29/10:46:53.990105,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.007308,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.038307,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.054901,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.070423,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.102204,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.119002,[],0,"(-0.16326695680618286, -0.21049128472805023, 419.6655578613281)"
2018/05/29/10:46:54.135874,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.166380,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.184468,[],0,"(-0.1530679613351822, -0.21053439378738403, 419.36517333984375)"
2018/05/29/10:46:54.199027,[],0,"(-0.16326695680618286, -0.21049128472805023, 419.6655578613281)"
2018/05/29/10:46:54.229794,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:54.248159,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:54.278756,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.309933,[],0,"(-0.16325220465660095, -0.20718802511692047, 419.3652038574219)"
2018/05/29/10:46:54.330244,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.342263,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.373763,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.393143,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:54.406181,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:54.437683,[],0,"(-0.16325220465660095, -0.20718802511692047, 419.3652038574219)"
2018/05/29/10:46:54.454444,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:54.470081,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.501653,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:54.518055,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.535143,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:54.566305,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:54.582709,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.614095,[],0,"(-0.1530679613351822, -0.21053439378738403, 419.36517333984375)"
2018/05/29/10:46:54.632138,[],0,"(-0.1530679613351822, -0.21053439378738403, 419.36517333984375)"
2018/05/29/10:46:54.645705,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.679534,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.694204,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.710538,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.741743,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.758451,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.773771,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.805535,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:54.822317,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:54.854106,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
